개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,건물지상층수,건물지하층수,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,발한실여부,사용끝지상층,사용끝지하층,사용시작지상층,사용시작지하층,상세영업상태명,상세영업상태코드,여성종사자수,영업상태코드,욕실수,위생업태명,전화번호,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,3000000-202-1996-00492,1996-10-11,폐업,2013-12-11,.00,110-842,,삼호가족탕,목욕장업 기타,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,목욕장업 기타,027417080,,,,201302.883783666    ,451982.388503793    ,서울특별시 종로구 창신동 436-73 ,2007-08-10 17:35:52
3000000,3000000-202-1996-00502,1996-10-11,폐업,2001-12-01,.00,110-842,,삼호증기탕,목욕장업 기타,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,목욕장업 기타,027417080,,,,201302.883783666    ,451982.388503793    ,서울특별시 종로구 창신동 436-73 ,2002-03-22 00:00:00
3000000,3000000-202-1997-00478,1997-07-24,폐업,2024-08-12,951.56,110-522,03077,대학로불가마,공동탕업+찜질시설서비스영업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 창경궁로34길 18-5 (명륜2가),N,,2,,,폐업,02,,03,,공동탕업+찜질시설서비스영업,027450014,,,,200015.817024551    ,453537.90354109     ,서울특별시 종로구 명륜2가 22-2 ,2024-08-12 13:09:25
3000000,3000000-202-1998-00480,1998-06-15,폐업,2005-10-05,441.76,110-340,,운현대중탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,027442310,,,,198970.736456772    ,452534.45478172     ,서울특별시 종로구 익선동 30-6 ,2003-12-29 00:00:00
3000000,3000000-202-1998-00481,1998-12-07,폐업,2008-11-18,587.27,110-842,,보천대중탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,027659123,,,,200932.51290942     ,452059.543172379    ,서울특별시 종로구 창신동 448-6 ,2003-06-16 00:00:00
3000000,3000000-202-1998-00495,1998-12-04,폐업,2001-12-31,.00,110-521,,장수한증원,한증막업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,한증막업,0236721999,,,,199884.748593171    ,453991.795392313    ,서울특별시 종로구 명륜1가 33-74 ,2002-07-15 00:00:00
3000000,3000000-202-1999-00397,1999-01-10,폐업,2003-02-17,197.44,110-035,,대호탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,0207395757,,,,197126.115096763    ,453218.360623087    ,서울특별시 종로구 옥인동 90-2 ,2003-03-25 00:00:00
3000000,3000000-202-1999-00505,1999-09-16,폐업,2005-06-09,335.86,110-862,,백구탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,2,1,,,폐업,02,,03,,공동탕업,027456100,,,,201344.918271945    ,452514.172975774    ,서울특별시 종로구 숭인동 65-5 ,2003-12-29 00:00:00
3000000,3000000-202-1999-00506,1999-10-01,폐업,2005-10-05,"1,003.00",110-741,,21세기사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,027252059,,,,198805.617234082    ,452181.053949579    ,서울특별시 종로구 인사동 43 대일빌딩 B2 ,2003-11-05 00:00:00
3000000,3000000-202-2002-00001,2002-03-11,폐업,2023-11-08,317.11,110-842,03119,이스턴사우나,한증막업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 종로 286 (창신동),N,2,,2,,폐업,02,,03,,한증막업,027417811,,,,200846.171043058    ,452069.005122414    ,서울특별시 종로구 창신동 444-14 ,2023-11-08 10:12:18
3000000,3000000-202-2002-00002,2002-06-21,폐업,2015-10-13,605.00,110-140,03143,(주)젠스타서비스 스포존,공동탕업,I,,16,1,,N,2025-12-15 16:15:28,서울특별시 종로구 율곡로2길 19 (수송동),N,,2,,1,폐업,02,,03,,공동탕업,027309717,,,,198279.787364709    ,452430.699653992    ,서울특별시 종로구 수송동 83-1 ,2012-07-30 10:57:03
3000000,3000000-202-2003-00001,2003-01-23,폐업,2022-11-24,"1,750.00",110-828,03116,대경아쿠아월드,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 난계로 255, 지하1,2층 (숭인동, 대경빌딩)",N,,2,,,폐업,02,,03,,공동탕업,0222385515,,,,201948.560407436    ,452449.497992591    ,서울특별시 종로구 숭인동 1385 대경빌딩 ,2022-11-24 17:44:58
3000000,3000000-202-2003-00003,2003-01-16,폐업,2017-01-31,305.00,110-080,03025,현대스파밸리,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 통일로 246-20, 지하2층 B02호 (무악동, 무악현대상가)",N,,,,,폐업,02,,03,,공동탕업,027387391,,,,196467.975088253    ,452566.134030104    ,서울특별시 종로구 무악동 82 현대상가 B02호 ,2017-02-01 10:59:09
3000000,3000000-202-2003-00006,2000-04-12,폐업,2008-01-25,"1,485.00",110-816,,하림맥반석사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,023968080,,,,196659.343136833    ,454934.50415762     ,서울특별시 종로구 부암동 190-3 ,2004-01-12 00:00:00
3000000,3000000-202-1961-00382,1961-12-30,폐업,1998-01-09,71.68,110-845,,동산탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027635366,,,,,,서울특별시 종로구 충신동 79-1 ,2001-11-20 00:00:00
3000000,3000000-202-1962-00379,1962-05-18,폐업,1991-09-20,130.40,110-410,,인의탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,199807.217011265    ,452291.476066574    ,서울특별시 종로구 인의동 28-15 ,2003-02-07 00:00:00
3000000,3000000-202-1963-00394,1963-06-05,폐업,1991-07-01,92.40,110-033,,효자탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,,,서울특별시 종로구 효자동 188-6 ,2001-09-29 00:00:00
3000000,3000000-202-1963-00399,1963-01-21,폐업,1996-01-27,114.78,110-522,,성균탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,199706.734789756    ,453634.388071859    ,서울특별시 종로구 명륜2가 123-0 ,2001-09-29 00:00:00
3000000,3000000-202-1963-00413,1963-06-13,폐업,1999-06-04,36.00,110-827,,신설탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0209284513,,,,201857.226592825    ,452601.660020509    ,서울특별시 종로구 숭인동 1062-0 ,1999-06-07 00:00:00
3000000,3000000-202-1963-00493,1963-06-03,폐업,2015-12-28,242.00,110-840,03105,동호한증원,한증막업,I,,2,,,N,2025-12-15 16:15:28,서울특별시 종로구 종로 313-6 (창신동),Y,1,,,,폐업,02,,03,2,한증막업,027643278,,,,201057.431070167    ,452245.944639053    ,서울특별시 종로구 창신동 160 ,2003-03-04 00:00:00
3000000,3000000-202-1964-00385,1964-09-09,폐업,2014-11-17,126.21,110-801,03057,중앙탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 계동길 84-3 (계동),N,1,,,,폐업,02,,03,,공동탕업,027631491,,,,198783.79724797     ,453232.209335162    ,서울특별시 종로구 계동 133-5 ,2004-01-14 00:00:00
3000000,3000000-202-1964-00391,1964-03-31,폐업,2002-10-28,142.32,110-200,,복수탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,,,서울특별시 종로구 소격동 149-0 ,2002-11-04 00:00:00
3000000,3000000-202-1965-00395,1965-12-13,폐업,2002-10-04,124.60,110-044,,대원탕,공동탕업,I,,5,0,,N,2025-12-15 16:15:28,,N,,,1,0,폐업,02,,03,0,공동탕업,0200000000,,,,197247.96898135     ,452558.984058705    ,서울특별시 종로구 필운동 290 ,2002-10-04 00:00:00
3000000,3000000-202-1967-00422,1967-10-26,폐업,2002-05-30,182.54,110-817,,세검탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0203910196,,,,196765.361060381    ,454595.114839518    ,서울특별시 종로구 부암동 232-0 ,2002-06-17 00:00:00
3000000,3000000-202-1968-00388,1968-01-18,폐업,2006-08-21,145.29,110-806,,옥루탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,1,,,,폐업,02,,03,,공동탕업,027361669,,,,,,서울특별시 종로구 누하동 223-3 ,2003-12-29 00:00:00
3000000,3000000-202-1968-00396,1968-02-26,폐업,2002-04-10,293.56,110-111,,삼성탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,198918.649469498    ,451882.607111048    ,서울특별시 종로구 관철동 24-0 ,2002-04-10 00:00:00
3000000,3000000-202-2003-00005,2003-06-30,폐업,2005-06-02,520.97,110-829,,금호대중탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,1,,,폐업,02,,03,,공동탕업,0222377200,,,,201908.102083278    ,452325.377310889    ,서울특별시 종로구 숭인동 1420 ,2003-12-29 00:00:00
3000000,3000000-202-1960-00378,1960-11-19,폐업,2000-04-15,81.78,110-030,,청운탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0207367280,,,,197322.999822687    ,453585.548253104    ,서울특별시 종로구 청운동 108-14 ,2000-05-03 00:00:00
3000000,3000000-202-1960-00387,1960-12-30,폐업,1990-05-21,180.04,110-450,,신원탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,199723.996905979    ,452550.980549579    ,서울특별시 종로구 원남동 86-1 ,2003-02-07 00:00:00
3000000,3000000-202-1960-00389,1960-12-31,폐업,1993-05-13,112.10,110-480,,효제탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,200078.609205934    ,452158.608873517    ,서울특별시 종로구 효제동 318-1 ,2001-11-20 00:00:00
3000000,3000000-202-1961-00380,1961-12-30,폐업,2002-10-14,223.07,110-370,,수은탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027654579,,,,199129.65832612     ,452402.028532737    ,서울특별시 종로구 묘동 141 ,2002-10-15 00:00:00
3000000,3000000-202-1981-00439,1981-10-23,폐업,1993-03-23,130.80,110-835,,대동탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,199961.039493914    ,452169.557249756    ,서울특별시 종로구 종로5가 110-0 ,2001-11-20 00:00:00
3000000,3000000-202-1969-00433,1969-12-01,폐업,1996-03-08,174.76,110-092,,귀빈탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,,,서울특별시 종로구 홍파동 104-0 ,2001-09-29 00:00:00
3000000,3000000-202-1970-00415,1970-09-11,폐업,2002-03-25,115.42,110-861,,동신탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,0205422840,,,,201262.91775353     ,452918.705610454    ,서울특별시 종로구 창신동 17-19 ,2003-03-25 00:00:00
3000000,3000000-202-1970-00417,1970-12-07,폐업,1995-10-10,134.12,110-862,,보성탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,201344.918271945    ,452514.172975774    ,서울특별시 종로구 숭인동 65-5 ,2001-09-29 00:00:00
3000000,3000000-202-1970-00423,1970-01-13,폐업,2008-09-29,141.67,110-092,,은하수탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,1,,,,폐업,02,,03,,공동탕업,027391890,,,,,,서울특별시 종로구 홍파동 52-15 ,2003-03-04 00:00:00
3000000,3000000-202-1971-00398,1971-03-30,폐업,2005-08-25,87.72,110-808,,동화탕,공동탕업,I,자가,2,,,N,2025-12-15 16:15:28,,N,2,,1,,폐업,02,,03,,공동탕업,0207650843,,,,199161.938718789    ,452199.9756135      ,서울특별시 종로구 돈의동 110 ,2005-03-04 00:00:00
3000000,3000000-202-1971-00418,1971-08-02,폐업,2001-02-25,.00,110-826,,예원탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0255600069,,,,201381.869145567    ,452248.229141625    ,서울특별시 종로구 숭인동 296-23 ,2001-03-03 00:00:00
3000000,3000000-202-1971-00420,1971-06-14,폐업,2004-05-25,165.44,110-813,,강남사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,1,,,,폐업,02,,03,,공동탕업,0207481550,,,,,,서울특별시 종로구 무악동 46-35 ,2003-05-09 00:00:00
3000000,3000000-202-1993-00467,1993-09-07,폐업,2009-09-28,326.14,110-835,,벤허2사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,,,,,199961.039493914    ,452169.557249756    ,서울특별시 종로구 종로5가 110 ,2009-06-05 10:19:19
3000000,3000000-202-1993-00487,1993-09-17,폐업,1994-08-29,422.19,110-350,,월드대중,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0207414096,,,,198966.466796388    ,452608.062544497    ,서울특별시 종로구 운니동 65-1 ,2001-11-20 00:00:00
3000000,3000000-202-1994-00470,1994-12-07,폐업,2002-04-11,403.62,110-500,,이화목욕탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027645996,,,,,,서울특별시 종로구 이화동 25-17 ,2002-04-12 00:00:00
3000000,3000000-202-1994-00488,1994-08-20,폐업,1994-11-10,526.75,110-130,,청자탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,,,서울특별시 종로구 청진동 225-0 ,2001-11-20 00:00:00
3000000,3000000-202-1994-00489,1994-09-06,폐업,1996-08-29,422.19,110-350,,월드대중,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027631106,,,,198966.466796388    ,452608.062544497    ,서울특별시 종로구 운니동 65-1 ,2001-11-20 00:00:00
3000000,3000000-202-1981-00494,1981-08-28,폐업,2010-05-27,187.27,110-091,,독립문한증원,한증막업,I,,,,,N,2025-12-15 16:15:28,,N,2,1,2,1,폐업,02,,03,,한증막업,027351570,,,,196721.918042133    ,452266.732718521    ,서울특별시 종로구 행촌동 1-50 ,2003-12-29 00:00:00
3000000,3000000-202-1982-00428,1982-09-20,폐업,2001-05-22,205.64,110-320,,파고다,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,199028.829510033    ,452167.894965375    ,서울특별시 종로구 낙원동 150-1 2호호,2001-06-01 00:00:00
3000000,3000000-202-1982-00429,1982-12-07,폐업,2002-03-25,289.78,110-390,,백천탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,0200000000,,,,199227.530733537    ,452353.103642099    ,서울특별시 종로구 봉익동 7-1 ,2003-03-25 00:00:00
3000000,3000000-202-1982-00430,1982-12-14,폐업,2004-06-04,451.89,110-122,,양지탕,공동탕업,I,,8,2,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,027330350,,,,198696.792161159    ,451962.68240104     ,서울특별시 종로구 종로2가 75-9 ,2003-03-04 00:00:00
3000000,3000000-202-1982-00443,1982-09-15,폐업,1996-09-17,285.70,110-320,,에머랄드,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027432005,,,,198920.853316964    ,452332.712151374    ,서울특별시 종로구 낙원동 75-0 ,2001-11-20 00:00:00
3000000,3000000-202-1983-00384,1983-10-13,폐업,2001-12-31,262.52,110-521,,장수탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,027413900,,,,199884.748593171    ,453991.795392313    ,서울특별시 종로구 명륜1가 33-74 ,2002-07-15 00:00:00
3000000,3000000-202-1983-00431,1983-09-24,폐업,1997-12-12,134.94,110-847,,송원탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,197002.967810647    ,456003.295259389    ,서울특별시 종로구 평창동 182-25 ,2001-09-29 00:00:00
3000000,3000000-202-1983-00432,1983-10-07,폐업,2011-05-31,246.12,110-126,,우진탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,0207426407,,,,200492.343925646    ,452341.395311037    ,서울특별시 종로구 종로6가 210-11 ,2006-08-08 00:00:00
3000000,3000000-202-1983-00434,1983-12-05,폐업,1998-09-03,227.41,110-300,,보천탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,,,,,198538.187537619    ,452524.551177639    ,서울특별시 종로구 관훈동 106-0 ,2001-11-20 00:00:00
3000000,3000000-202-1983-00448,1983-12-12,폐업,1994-04-06,173.62,110-853,,세운탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,199604.523834105    ,451996.976674009    ,서울특별시 종로구 종로4가 74 ,2003-02-07 00:00:00
3000000,3000000-202-1983-00451,1983-12-05,폐업,1994-01-06,544.44,110-130,,청자탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,,,서울특별시 종로구 청진동 225-2 ,2001-11-20 00:00:00
3000000,3000000-202-1984-00409,1984-12-10,폐업,1999-08-23,273.66,110-140,,광원탕,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,,N,,,0,0,폐업,02,,03,0,공동탕업,0200000000,,,,198359.183940535    ,452292.493611602    ,서울특별시 종로구 수송동 46-20 ,1999-08-24 00:00:00
3000000,3000000-202-1984-00435,1984-04-10,폐업,2005-07-25,188.45,110-803,,청수탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,023965649,,,,196377.526734114    ,456007.528701216    ,서울특별시 종로구 구기동 63 ,2004-01-16 00:00:00
3000000,3000000-202-1984-00436,1984-11-08,폐업,2005-05-27,263.76,110-521,,동호탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,공동탕업,027630291,,,,199609.522606301    ,453980.161955623    ,서울특별시 종로구 명륜1가 10-16 ,2003-04-08 00:00:00
3000000,3000000-202-1984-00496,1984-05-21,폐업,2008-10-02,220.39,110-130,,서울관광호텔사우나,한증막업,I,,,,,N,2025-12-15 16:15:28,,N,,2,,,폐업,02,,03,,한증막업,027359060,,,,,,서울특별시 종로구 청진동 92 ,2003-03-19 00:00:00
3000000,3000000-202-2003-00007,2003-08-23,폐업,2005-09-01,"1,564.96",110-748,,삼일새렘보석사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,1,,,폐업,02,,03,,공동탕업,0232101537,,,,198795.525085201    ,451811.272474605    ,서울특별시 종로구 관철동 10-2 삼일빌딩지1층 ,2003-12-29 00:00:00
3000000,3000000-202-2003-00008,2003-08-27,폐업,2007-12-11,656.88,110-826,,마동탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,,N,,,,,폐업,02,,03,,공동탕업,0222367757,,,,201432.311420646    ,452111.90290939     ,서울특별시 종로구 숭인동 318-1 ,2003-12-04 00:00:00
3000000,3000000-202-2004-00001,2004-06-18,폐업,2024-04-01,"1,275.15",110-420,03192,국일관 황토 대중 목욕탕,공동탕업+찜질시설서비스영업,I,,15,7,,N,2025-12-15 16:15:28,"서울특별시 종로구 수표로 96 (관수동,외2필지)",N,0,2,0,2,폐업,02,,03,2,공동탕업+찜질시설서비스영업,022279741,,,,199045.043602772    ,451939.677286976    ,서울특별시 종로구 관수동 20 외2필지 ,2024-04-01 09:32:52
3000000,3000000-202-2004-00002,2004-08-17,폐업,2021-10-25,"2,282.22",110-841,03121,스파렉스24시불한증막,공동탕업+찜질시설서비스영업,I,,13,5,,N,2025-12-15 16:15:28,"서울특별시 종로구 지봉로 19 (창신동,외2필지)",N,13,0,13,0,폐업,02,,03,2,공동탕업+찜질시설서비스영업,027638888,,,,201273.887781838    ,452163.292543039    ,서울특별시 종로구 창신동 328-18 외2필지 ,2021-10-25 10:11:34
3000000,3000000-202-2005-00001,2005-05-21,폐업,2010-10-05,204.95,110-111,,양지사우나,목욕장업 기타,I,임대,4,1,,N,2025-12-15 16:15:28,,N,,1,,1,폐업,02,,03,1,목욕장업 기타,023573201,,,,198726.009497482    ,451826.346589316    ,서울특별시 종로구 관철동 11-19 외2필지(지하1) ,2005-07-08 00:00:00
3000000,3000000-202-2005-00002,2005-12-23,폐업,2016-10-13,209.39,110-862,03113,백구목욕탕,공동탕업,I,임대,3,1,,N,2025-12-15 16:15:28,"서울특별시 종로구 종로57길 40 (숭인동,지하1,지상1,2층)",Y,2,1,1,1,폐업,02,,03,2,공동탕업,027665101,,,,201344.918271945    ,452514.172975774    ,"서울특별시 종로구 숭인동 65-5 지하1,지상1,2층 ",2006-04-21 00:00:00
3000000,3000000-202-2006-00001,2006-07-03,폐업,2023-01-17,356.00,110-816,03017,퀸스파,공동탕업,I,임대,3,1,,N,2025-12-15 16:15:28,"서울특별시 종로구 자하문로 276, 지하1층 (부암동)",N,,1,,1,폐업,02,,03,,공동탕업,023952941,,,,196629.359036534    ,455080.991010485    ,서울특별시 종로구 부암동 175-1 ,2023-01-17 10:11:38
3000000,3000000-202-2007-00002,2007-12-12,폐업,2012-09-18,"2,680.52",110-847,,주식회사 아너스벨리,공동탕업+찜질시설서비스영업,I,,0,0,,N,2025-12-15 16:15:28,,Y,0,2,0,1,폐업,02,,03,0,공동탕업+찜질시설서비스영업,023917515,,,,197349.173372741    ,456108.810250198    ,"서울특별시 종로구 평창동 153-3 지하1,2층 ",2008-06-25 10:13:01
3000000,3000000-202-2008-00001,2008-04-08,폐업,2017-04-18,584.19,110-080,03025,독립문웰빙센터,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,"서울특별시 종로구 통일로 246-10, 5,6층 (무악동)",N,6,0,5,0,폐업,02,,03,4,공동탕업,027338111,,,,196467.975088253    ,452566.134030104    ,"서울특별시 종로구 무악동 82 외2필지 무악현대아파트 상가 5,6층 ",2017-04-18 14:43:47
3000000,3000000-202-2010-00001,2010-09-08,폐업,2021-04-09,167.00,110-759,03175,(주)광화문투엑스휘트니스,공동탕업,I,임대,10,3,,N,2025-12-15 16:15:28,"서울특별시 종로구 새문안로3길 15 (당주동,동원빌딩 지하1층)",Y,,1,,1,폐업,02,,03,2,공동탕업,027202525,,,,197484.983910622    ,452162.304535024    ,서울특별시 종로구 당주동 128-27 동원빌딩 지하1층 ,2021-04-09 10:33:28
3000000,3000000-202-2013-00001,2013-01-18,폐업,2015-03-02,475.01,110-420,03192,클레오 스파,공동탕업,I,,0,0,,N,2025-12-15 16:15:28,"서울특별시 종로구 수표로 96, 4층 (관수동, 국일관)",Y,4,,4,,폐업,02,,03,4,공동탕업,,,,,199045.043602772    ,451939.677286976    ,서울특별시 종로구 관수동 20 국일관 4층 ,2015-03-02 17:31:58
